course_link                     ,course_name                             ,course_number,course_organization,course_price,course_status
//ke.qq.com/course/123918       ,Python 3 完全零基础入门精讲                      ,740人购买       ,优品课堂               ,¥499.00     ,
//ke.qq.com/course/251222       ,python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,646人购买       ,马哥教育               ,¥6800.00    ,
//ke.qq.com/course/332671       ,Python基础入门VIP精品课程                       ,426人购买       ,咕泡教育               ,¥9.90       ,
//ke.qq.com/course/211893       ,Python轻松入门到项目实战【动脑学院】                   ,256人购买       ,动脑学院               ,¥6380.00    ,
//ke.qq.com/course/package/14888,python全能工程师套餐                           ,29人购买        ,马哥教育               ,¥6800.00    ,
//ke.qq.com/course/326608       ,Python全栈开发零基础入门精品课程                     ,308人购买       ,动脑学院               ,¥1.00       ,
//ke.qq.com/course/295206       ,Python零基础入门直通车                          ,70人购买        ,学神IT教育             ,¥1.00       ,
//ke.qq.com/course/340395       ,python爬虫学习入门教程-全新Python商业爬虫实战           ,166人购买       ,马哥教育               ,¥1.00       ,
//ke.qq.com/course/348490       ,Python全栈开发+人工智能精选集                      ,471人购买       ,软谋教育               ,¥1000.00    ,
//ke.qq.com/course/284170       ,Python人工智能全栈开发二期【千锋教育】                  ,52人购买        ,扣丁学堂               ,¥5800.00    ,
//ke.qq.com/course/325907       ,Python全栈+人工智能实战班                        ,100人购买       ,软谋教育               ,¥6199.00    ,
//ke.qq.com/course/package/12814,PY全栈开发--立减1600                          ,8人购买         ,动脑学院               ,¥6380.00    ,
//ke.qq.com/course/package/10270,基础语法从入门到实战                              ,1人购买         ,联科教育               ,¥298.00     ,
//ke.qq.com/course/255929       ,python人工智能全栈开发一期【千锋教育】                  ,122人购买       ,扣丁学堂               ,¥5800.00    ,
//ke.qq.com/course/324618       ,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】      ,50人购买        ,扣丁学堂               ,¥6800.00    ,
//ke.qq.com/course/package/14400,Python从入门到爬虫                            ,3人购买         ,汤小洋                ,¥49.00      ,
//ke.qq.com/course/package/13256,Python基础+爬虫[系列                          ,4人购买         ,汤小洋                ,¥35.00      ,
//ke.qq.com/course/368283       ,与清华博士一起学习金融量化分析                         ,1人购买         ,路飞学城               ,¥399.00     ,
//ke.qq.com/course/274591       ,Python高级教程—机器学习和数据分析                    ,29人购买        ,扣丁学堂               ,¥50.00      ,
//ke.qq.com/course/363018       ,Python网络爬虫精品系统课程【从0开始学习】                ,2人购买         ,咕泡教育               ,¥299.00     ,
//ke.qq.com/course/258119       ,Python WEB全栈开发 Head老师                   ,68人购买        ,学神IT教育             ,¥288.00     ,
//ke.qq.com/course/package/12327,Python Web全栈工程师                         ,1人购买         ,智捷课堂               ,¥666.00     ,
//ke.qq.com/course/171093       ,乾颐盾系列Python黑客技巧视频讲解                     ,4人购买         ,乾颐堂网络培训            ,¥999.00     ,
//ke.qq.com/course/362216       ,Python全栈自动化测试                           ,0人购买         ,动脑学院               ,¥5380.00    ,
